swedish,"Jag är inte nöjd med tjänsten, vad måste jag göra för att lämna in ett konsumentklagomål?",FEEDBACK,complaint,"g är inte nöjd med tjänsten, vad måste jag göra för att lämna in ett konsumentklagomål?","g är inte nöjd med tjänsten, vad måste jag göra för att lämna in ett konsumentklagomå",,
swedish,Kan du fråga Alexa hur jag kan kolla min beställning?,ORDER,track_order,n du fråga Alexa hur jag kan kolla min beställning?,n du fråga Alexa hur jag kan kolla min beställnin,,
swedish,"Fråga Alexa hur man ringer kundsupoort, tack",CONTACT,contact_customer_service,"åga Alexa hur man ringer kundsupoort, tack","åga Alexa hur man ringer kundsupoort, ta",,
swedish,"Jag har ett problem med att göra en betalning, hur kan jag rapportera det?",PAYMENT,payment_issue,"g har ett problem med att göra en betalning, hur kan jag rapportera det?","g har ett problem med att göra en betalning, hur kan jag rapportera de",,
swedish,kan du fråga Alexa var du kan se avbokningsstraffet?,CANCELLATION_FEE,check_cancellation_fee,n du fråga Alexa var du kan se avbokningsstraffet?,n du fråga Alexa var du kan se avbokningsstraffe,,
swedish,Kan jag skapa ett användarkonto?,ACCOUNT,create_account,n jag skapa ett användarkonto?,n jag skapa ett användarkont,,
swedish,Jag behöver hjälp med att rapportera om en betalning,PAYMENT,payment_issue,g behöver hjälp med att rapportera om en betalning,g behöver hjälp med att rapportera om en betalni,,
swedish,Jag får ett felmeddelande när jag försöker betala med kort,PAYMENT,payment_issue,g får ett felmeddelande när jag försöker betala med kort,g får ett felmeddelande när jag försöker betala med ko,,
swedish,"Jag har ett problem när jag försöker göra en betalning med kort, kan du hjälpa mig?",PAYMENT,payment_issue,"g har ett problem när jag försöker göra en betalning med kort, kan du hjälpa mig?","g har ett problem när jag försöker göra en betalning med kort, kan du hjälpa mi",,
swedish,"Jag har inget onlinekonto, vad måste jag göra för att öppna ett?",ACCOUNT,create_account,"g har inget onlinekonto, vad måste jag göra för att öppna ett?","g har inget onlinekonto, vad måste jag göra för att öppna et",,
swedish,"Jag fick inte min faktura, visa den",INVOICES,check_invoices,"g fick inte min faktura, visa den","g fick inte min faktura, visa d",,
swedish,"Jag har ett problem att betala för min online-beställning, vad kan jag göra?",PAYMENT,payment_issue,"g har ett problem att betala för min online-beställning, vad kan jag göra?","g har ett problem att betala för min online-beställning, vad kan jag gör",,
swedish,Kan jag anmäla problem med att betala?,PAYMENT,payment_issue,n jag anmäla problem med att betala?,n jag anmäla problem med att betal,,
